Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0312SR	(8x30)	(30x15)	Dijkstra	True	5,1957	22	28,2132	462	483	11592	---	---	---
AR0312SR	(8x30)	(30x15)	Dijkstra	True	5,9465	22	28,2132	462	483	11592	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	6,1991	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	4,8294	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,4295	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,6896	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,7419	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,9337	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,9371	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,2621	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,4555	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,5561	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,0116	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,5674	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,2818	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,0602	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,486	16	19,72792	277	289	6936	---	---	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	2,5605	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	2,9635	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	2,5328	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,9003	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	2,6022	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	2,5348	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	2,5112	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	2,7062	16	19,72792	219	222	5328	10	True	0%
AR0408SR	(6x20)	(22x11)	Dijkstra	True	0,9677	16	20,55635	121	211	5064	10	False	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,4918	16	20,55635	121	211	5064	10	False	---
AR0408SR	(6x20)	(22x11)	Dijkstra	True	1,1824	16	20,55635	121	211	5064	10	False	---
