Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(96x121)	(118x112)	Dijkstra	True	3,266181	22	25,72792	792	842	20208	---	---	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,40418	22	25,72792	273	339	8136	2,5	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	0,9294	22	25,72792	206	276	6624	5	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,56031	22	25,72792	180	253	6072	7,5	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	0,9104	22	25,72792	167	241	5784	10	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	2,40388	22	25,72792	381	356	8544	2,5	True	0%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	2,47572	22	25,72792	294	348	8352	2,5	True	10%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	2,1084	22	25,72792	281	343	8232	2,5	True	20%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,93462	22	25,72792	275	339	8136	2,5	True	30%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,72849	22	25,72792	299	283	6792	5	True	0%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,44026	22	25,72792	227	281	6744	5	True	10%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	2,14532	22	25,72792	211	279	6696	5	True	20%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,46117	22	25,72792	205	275	6600	5	True	30%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	2,0235	22	25,72792	269	269	6456	7,5	True	0%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,45076	22	25,72792	220	272	6528	7,5	True	10%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,19583	22	25,72792	184	248	5952	7,5	True	20%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,45648	22	25,72792	179	252	6048	7,5	True	30%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,92355	22	25,72792	252	256	6144	10	True	0%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	2,0854	22	25,72792	226	266	6384	10	True	10%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,73306	22	25,72792	171	238	5712	10	True	20%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	1,42282	22	25,72792	165	236	5664	10	True	30%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,9115	22	25,72792	793	856	20544	---	---	---
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,0798	22	25,72792	274	347	8328	2,5	False	---
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,5138699	22	25,72792	208	281	6744	5	False	---
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,50429	22	25,72792	178	252	6048	7,5	False	---
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,95772	22	25,72792	163	240	5760	10	False	---
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,56111	22	25,72792	353	393	9432	2,5	True	0%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,16336	22	25,72792	327	380	9120	2,5	True	10%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,55308	22	25,72792	276	345	8280	2,5	True	20%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,34671	22	25,72792	278	347	8328	2,5	True	30%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,88273	22	25,72792	229	289	6936	5	True	0%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,9480699	22	25,72792	225	287	6888	5	True	10%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,09892	22	25,72792	207	268	6432	5	True	20%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,15334	22	25,72792	212	280	6720	5	True	30%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,85462	22	25,72792	221	263	6312	7,5	True	0%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,44076	22	25,72792	197	252	6048	7,5	True	10%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,86663	22	25,72792	202	262	6288	7,5	True	20%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,67761	22	25,72792	176	243	5832	7,5	True	30%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,7795	22	25,72792	207	254	6096	10	True	0%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,79378	22	25,72792	211	260	6240	10	True	10%
AR0300SR	(96x121)	(118x112)	Manhattan	True	0,66254	22	25,72792	170	237	5688	10	True	20%
AR0300SR	(96x121)	(118x112)	Manhattan	True	1,30283	22	25,72792	169	240	5760	10	True	30%
