Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,81631	0,85208	8,66839	23	26,31371	212	238	33	27	7667	---	---	---
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,43883	0,40371	7,84254	22	25,72792	71	103	33	26	3346	2,5	False	---
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,75125	0,37421	7,12546	22	25,72792	54	84	33	26	2738	5	False	---
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,1981	0,35342	7,55152	22	25,72792	50	82	33	26	2674	7,5	False	---
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	9,0585	0,36685	9,42535	22	25,72792	46	77	33	26	2514	10	False	---
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,15433	0,55703	6,71136	22	25,72792	85	103	33	26	3346	2,5	True	0%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,6161	0,51811	7,13421	22	25,72792	79	103	33	26	3346	2,5	True	10%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,98394	0,58763	7,57157	22	25,72792	74	103	33	26	3346	2,5	True	20%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,605741	0,52823	7,133971	22	25,72792	72	103	33	26	3346	2,5	True	30%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,5458	0,46583	8,01163	22	25,72792	60	84	33	26	2738	5	True	0%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,45384	0,49327	6,94711	22	25,72792	70	92	33	26	2994	5	True	10%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,22322	0,47801	7,70123	22	25,72792	56	83	33	26	2706	5	True	20%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,12142	0,4457	7,567121	22	25,72792	54	84	33	26	2738	5	True	30%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,19189	0,49856	7,69045	22	25,72792	58	83	33	26	2706	7,5	True	0%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,43035	0,46093	7,89128	22	25,72792	56	81	33	26	2642	7,5	True	10%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,541101	0,46336	7,00446	22	25,72792	58	86	33	26	2802	7,5	True	20%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,2187	0,40773	6,62643	22	25,72792	51	81	33	26	2642	7,5	True	30%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,78118	0,52029	7,30147	22	25,72792	53	78	33	26	2546	10	True	0%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,700049	0,49794	7,197989	22	25,72792	63	87	33	26	2834	10	True	10%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	6,14224	0,40792	6,55016	22	25,72792	44	76	33	26	2482	10	True	20%
AR0300SR	(96x121)	(118x112)	2	Dijkstra	True	7,44435	0,39011	7,83446	22	25,72792	46	76	33	26	2482	10	True	30%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,64037	0,7677	4,40807	22	25,72792	100	123	52	31	3991	---	---	---
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	4,00267	0,49875	4,50142	22	25,72792	35	54	55	31	1783	2,5	False	---
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	4,10515	0,38027	4,48542	22	25,72792	26	45	58	31	1495	5	False	---
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,63371	0,37125	4,00496	22	25,72792	24	42	58	31	1399	7,5	False	---
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,88078	0,31008	4,19086	22	25,72792	21	38	58	31	1271	10	False	---
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,82773	0,48652	4,31425	22	25,72792	38	54	55	31	1783	2,5	True	0%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,7719	0,49583	4,26773	22	25,72792	38	54	55	31	1783	2,5	True	10%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,99769	0,52198	4,51967	22	25,72792	37	54	55	31	1783	2,5	True	20%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,54409	0,54703	4,09112	22	25,72792	37	54	55	31	1783	2,5	True	30%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,38063	0,42214	3,80277	22	25,72792	32	45	58	31	1495	5	True	0%
AR0300SR	(96x121)	(118x112)	3	Dijkstra	True	3,9014	0,47322	4,37462	22	25,72792	32	45	58	31	1495	5	True	10%
