Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Precalc Time	Solve Time	Total Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(96x121)	(118x112)	Dijkstra	True	286,6349	0,20236	286,8373	22	25,72792	41	65	4066600	---	---	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	246,4104	0,11255	246,5229	22	25,72792	12	38	4065952	2,5	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	254,7007	0,10295	254,8037	22	25,72792	11	36	4065904	5	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	243,4254	0,11212	243,5375	22	25,72792	12	37	4065928	7,5	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	287,9655	0,11525	288,0808	22	25,72792	12	37	4065928	10	False	---
AR0300SR	(96x121)	(118x112)	Dijkstra	True	271,1052	0,13421	271,2394	22	25,72792	12	38	4065952	2,5	True	0%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	257,3046	0,1083	257,4129	22	25,72792	12	38	4065952	2,5	True	10%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	279,7798	0,14431	279,9241	22	25,72792	12	38	4065952	2,5	True	20%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	273,9836	0,11975	274,1033	22	25,72792	12	38	4065952	2,5	True	30%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	312,826	0,13938	312,9654	22	25,72792	11	36	4065904	5	True	0%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	285,2762	0,1293	285,4055	22	25,72792	11	36	4065904	5	True	10%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	278,965	0,1164	279,0814	22	25,72792	11	36	4065904	5	True	20%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	266,1295	0,10501	266,2345	22	25,72792	11	36	4065904	5	True	30%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	265,8053	0,10691	265,9122	22	25,72792	12	37	4065928	7,5	True	0%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	244,5081	0,11457	244,6227	22	25,72792	12	37	4065928	7,5	True	10%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	238,8289	0,11074	238,9397	22	25,72792	12	37	4065928	7,5	True	20%
AR0300SR	(96x121)	(118x112)	Dijkstra	True	246,651	0,10339	246,7544	22	25,72792	12	37	4065928	7,5	True	30%
