Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(108x12)	(58x272)	Dijkstra	True	47,71671	269	345,6297	23004	23080	553920	---	---	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	31,23555	269	346,4582	11979	12574	301776	2,5	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	30,99191	269	346,4582	11821	12424	298176	5	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	32,24287	269	346,4582	11709	12300	295200	7,5	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	31,19793	269	346,4582	11661	12277	294648	10	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	122,2491	274	348,5587	32515	13698	328752	2,5	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	47,67894	269	346,4582	11990	12574	301776	2,5	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	48,60845	269	346,4582	11983	12574	301776	2,5	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	46,52841	269	346,4582	11980	12574	301776	2,5	True	30%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	119,1443	270	346,2155	31502	13479	323496	5	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	46,87498	269	346,4582	11880	12430	298320	5	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	47,0745	269	348,115	11840	12430	298320	5	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	46,50622	269	346,4582	11823	12424	298176	5	True	30%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	127,6226	270	346,2155	33625	13491	323784	7,5	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	48,67844	269	347,2866	11774	12374	296976	7,5	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	47,70942	269	347,2866	11763	12374	296976	7,5	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	46,632	269	348,9435	11749	12372	296928	7,5	True	30%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	152,554	269	345,6297	39020	13393	321432	10	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	47,57705	269	347,2866	11759	12301	295224	10	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	50,23756	269	348,9435	11738	12358	296592	10	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	48,46496	269	346,4582	11663	12277	294648	10	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	47,15622	269	345,6297	23868	23968	575232	---	---	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	31,77643	269	346,4582	11781	12514	300336	2,5	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	32,0482	273	349,6297	11637	12391	297384	5	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	29,34463	272	349,0439	11562	12322	295728	7,5	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	31,02341	272	349,0439	11534	12313	295512	10	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	79,3017	291	358,517	21022	13677	328248	2,5	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	50,835	274	351,0439	12363	12686	304464	2,5	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	49,35456	269	346,4582	11793	12514	300336	2,5	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	47,47163	277	354,4582	11833	12494	299856	2,5	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	83,96912	288	356,7596	22344	13826	331824	5	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	49,48015	273	349,6297	11862	12394	297456	5	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	47,4309	269	347,2866	11644	12391	297384	5	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	48,36933	269	347,2866	11642	12391	297384	5	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	76,8689	297	362,0317	20099	14501	348024	7,5	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	48,64308	272	349,0439	11881	12308	295392	7,5	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	47,79607	272	349,8724	11588	12321	295704	7,5	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	49,47891	272	349,8724	11585	12321	295704	7,5	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	81,97976	286	356,4165	21359	13485	323640	10	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	50,46864	272	349,0439	11695	12310	295440	10	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	53,0478	275	352,4582	11574	12292	295008	10	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	51,31292	275	352,4582	11563	12292	295008	10	True	30%
