Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	7,80055	22,5141	30,31465	272	347,3871	6358	6400	479	276	205100	---	---	---
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	6,76569	14,18194	20,94763	282	355,7303	3433	3706	489	286	118902	2,5	False	---
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	6,97216	14,61524	21,5874	282	355,7303	3402	3681	489	286	118102	5	False	---
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	6,98775	13,99013	20,97788	282	355,7303	3384	3659	489	286	117398	7,5	False	---
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	7,33118	14,1232	21,45438	282	355,7303	3377	3657	492	286	117334	10	False	---
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	6,70251	36,42342	43,12593	273	347,9729	7136	3751	484	277	120333	2,5	True	0%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	6,49354	19,00605	25,49959	282	359,044	3517	3758	486	286	120566	2,5	True	10%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	7,35329	19,16469	26,51798	282	355,7303	3436	3706	489	286	118902	2,5	True	20%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	8,3182	20,34265	28,66085	282	355,7303	3434	3706	489	286	118902	2,5	True	30%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	7,93038	40,126	48,05638	275	349,9729	7851	3793	483	279	121679	5	True	0%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	7,22432	20,77288	27,9972	288	360,0734	3560	3741	490	292	120028	5	True	10%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	7,24281	21,34157	28,58438	282	355,7303	3407	3681	489	286	118102	5	True	20%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	8,225851	23,12989	31,35574	282	355,7303	3404	3681	489	286	118102	5	True	30%
AR0300SR	(108x12)	(58x272)	2	Dijkstra	True	8,66462	46,64701	55,31163	286	355,5881	8605	3876	487	290	124346	7,5	True	0%
