Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Precalc Time	Solve Time	Total Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0300SR	(108x12)	(58x272)	Dijkstra	True	288,3962	11,64613	300,0423	269	345,6295	2471	2554	4126336	---	---	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	310,4841	5,5361	316,0202	273	347,9727	820	968	4088272	2,5	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	307,3948	4,137	311,5318	273	347,9727	844	953	4087912	5	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	304,7759	4,11801	308,8939	273	347,9727	794	935	4087480	7,5	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	279,3945	3,3787	282,7732	277	350,3158	799	941	4087624	10	False	---
AR0300SR	(108x12)	(58x272)	Dijkstra	True	265,0083	4,30075	269,309	273	347,9727	820	968	4088272	2,5	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	289,9586	3,04962	293,0083	273	347,9727	683	952	4087888	2,5	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	242,3363	2,62549	244,9618	273	347,9727	694	964	4088176	2,5	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	241,2122	2,59743	243,8097	280	352,0732	714	997	4088968	2,5	True	30%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	242,7591	3,4313	246,1904	273	347,9727	844	953	4087912	5	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	242,3568	3,21995	245,5767	273	347,9727	713	984	4088656	5	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	249,5985	2,90606	252,5046	269	345,6295	662	932	4087408	5	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	246,9272	3,2003	250,1275	269	345,6295	797	1083	4091032	5	True	30%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	246,124	2,92012	249,0441	273	347,9727	794	935	4087480	7,5	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	242,1502	3,33804	245,4883	296	361,4457	708	1005	4089160	7,5	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	257,4468	2,38819	259,835	269	345,6295	652	922	4087168	7,5	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	253,1353	3,52872	256,6641	296	361,4457	653	958	4088032	7,5	True	30%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	277,7596	3,08043	280,84	277	350,3158	799	941	4087624	10	True	0%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	279,1827	3,22678	282,4095	269	345,6295	665	935	4087480	10	True	10%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	319,9484	4,06686	324,0153	269	345,6295	652	926	4087264	10	True	20%
AR0300SR	(108x12)	(58x272)	Dijkstra	True	265,9952	2,56465	268,5598	269	345,6295	642	916	4087024	10	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	244,2847	9,103681	253,3884	345	390,1493	2449	2680	4129360	---	---	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	240,325	3,08889	243,4139	277	350,3158	860	1100	4091440	2,5	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	244,5661	3,2347	247,8008	304	366,132	875	1140	4092400	5	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	246,3088	3,18157	249,4904	304	366,132	858	1122	4091968	7,5	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	241,6557	4,11496	245,7707	277	350,3158	838	1076	4090864	10	False	---
AR0300SR	(108x12)	(58x272)	Manhattan	True	243,7262	4,80453	248,5307	277	350,3158	860	1100	4091440	2,5	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	236,8649	4,67498	241,5399	281	352,659	828	1106	4091584	2,5	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	245,0388	3,89087	248,9297	281	352,659	811	1093	4091272	2,5	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	244,8183	3,85275	248,671	281	352,659	819	1103	4091512	2,5	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	243,9435	4,38537	248,3289	304	366,132	875	1140	4092400	5	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	240,8089	3,40249	244,2114	296	361,4457	722	1023	4089592	5	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	239,827	4,35548	244,1824	300	363,7889	734	1035	4089880	5	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	241,5504	3,28383	244,8343	296	361,4457	716	1011	4089304	5	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	273,3842	3,6367	277,0209	304	366,132	858	1122	4091968	7,5	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	279,5942	3,16707	282,7613	296	361,4457	779	1075	4090840	7,5	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	272,0095	3,63555	275,6451	296	361,4457	764	1062	4090528	7,5	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	280,5821	3,35272	283,9348	296	361,4457	706	1008	4089232	7,5	True	30%
AR0300SR	(108x12)	(58x272)	Manhattan	True	246,8897	2,87425	249,764	277	350,3158	838	1076	4090864	10	True	0%
AR0300SR	(108x12)	(58x272)	Manhattan	True	240,8896	2,86157	243,7511	269	345,6295	757	1031	4089784	10	True	10%
AR0300SR	(108x12)	(58x272)	Manhattan	True	243,0504	3,99672	247,0471	269	345,6295	756	1031	4089784	10	True	20%
AR0300SR	(108x12)	(58x272)	Manhattan	True	239,2079	3,46546	242,6733	269	345,6295	727	1003	4089112	10	True	30%
