Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
IceFloes	(172x164)	(132x298)	Dijkstra	True	51,22396	137	153,9828	22593	23020	552480	---	---	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	19,81538	142	159,397	7431	7907	189768	2,5	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	20,39745	142	159,397	7437	7968	191232	5	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	21,50465	142	158,5686	7422	7963	191112	7,5	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	21,3406	142	159,397	7474	8017	192408	10	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	65,35415	140	155,7402	15249	8115	194760	2,5	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	34,60883	138	156,2255	8048	7347	176328	2,5	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	29,38839	138	157,8823	7241	7540	180960	2,5	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	32,45528	142	159,397	7430	7906	189744	2,5	True	30%
IceFloes	(172x164)	(132x298)	Dijkstra	True	60,84195	138	154,5686	13860	7186	172464	5	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	35,64652	139	157,6397	7906	7445	178680	5	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	34,03488	142	161,0539	7748	7964	191136	5	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	33,18423	142	159,397	7437	7968	191232	5	True	30%
IceFloes	(172x164)	(132x298)	Dijkstra	True	66,66778	137	153,9828	15272	7337	176088	7,5	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	38,37141	142	161,0539	8556	8251	198024	7,5	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	32,41703	142	159,397	7459	7849	188376	7,5	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	31,40261	142	158,5686	7398	7942	190608	7,5	True	30%
IceFloes	(172x164)	(132x298)	Dijkstra	True	60,38086	139	155,1544	14315	6989	167736	10	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	38,9763	142	159,397	8546	7874	188976	10	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	32,08595	142	158,5686	7543	7552	181248	10	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	31,2454	142	159,397	7458	7996	191904	10	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	50,31362	137	153,9828	23033	23585	566040	---	---	---
IceFloes	(172x164)	(132x298)	Manhattan	True	18,11026	142	159,397	6940	7369	176856	2,5	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	18,12399	143	159,1544	6884	7337	176088	5	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	17,97778	142	158,5686	6887	7352	176448	7,5	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	20,55699	142	159,397	6945	7402	177648	10	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	48,43915	143	157,4975	11182	7930	190320	2,5	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	38,32134	142	160,2255	8477	7740	185760	2,5	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	30,72304	142	161,0539	7375	7553	181272	2,5	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	30,3273	142	159,397	7003	7440	178560	2,5	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	44,3713	140	155,7402	10190	7338	176112	5	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	36,84483	149	165,9828	8470	7672	184128	5	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	29,87177	151	163,8407	7018	7422	178128	5	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	30,6768	148	162,0833	6967	7387	177288	5	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	46,79105	142	156,9117	10319	7216	173184	7,5	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	36,48061	142	158,5686	8105	7159	171816	7,5	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	32,20717	151	165,4975	7429	7556	181344	7,5	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	29,7501	148	163,7402	7076	7501	180024	7,5	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	48,44917	143	157,4975	10739	7121	170904	10	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	38,56472	148	163,7402	8737	7621	182904	10	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	36,30977	143	159,9828	7470	7320	175680	10	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	30,05763	148	162,9117	7012	7427	178248	10	True	30%
