Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	12,58216	23,37048	35,95264	140	155,7402	6021	6251	183	144	200200	---	---	---
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	13,74211	9,032188	22,7743	143	159,9828	2082	2349	188	147	75339	2,5	False	---
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	13,1182	9,79296	22,91116	143	159,9828	2087	2366	188	147	75883	5	False	---
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	14,6574	9,17029	23,82769	143	159,1544	2090	2378	181	147	76267	7,5	False	---
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	13,0025	9,78459	22,78709	143	159,1544	2094	2380	181	147	76331	10	False	---
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	12,89371	14,73741	27,63112	144	158,0833	2810	2089	188	148	67020	2,5	True	0%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	12,54535	14,04947	26,59482	142	159,397	2192	2397	189	146	76874	2,5	True	10%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	14,58505	12,53605	27,1211	142	159,397	2096	2346	189	146	75242	2,5	True	20%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	14,1085	12,02558	26,13408	143	159,9828	2082	2349	188	147	75339	2,5	True	30%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	13,19923	17,41297	30,6122	142	156,9117	3014	2042	188	146	65514	5	True	0%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	13,84166	14,1644	28,00606	143	158,3259	2239	2351	185	147	75403	5	True	10%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	15,51645	13,78978	29,30623	145	162,8112	2110	2359	191	149	75661	5	True	20%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	16,29639	13,83258	30,12897	145	164,4681	2029	2181	192	149	69965	5	True	30%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	16,40734	18,63389	35,04123	140	155,7402	3151	2045	187	144	65608	7,5	True	0%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	16,7771	14,5689	31,346	142	157,7402	2285	2167	186	146	69514	7,5	True	10%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	14,7907	14,98254	29,77324	142	157,7401	2117	2327	185	146	74634	7,5	True	20%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	16,2919	14,70709	30,99899	143	161,6397	2097	2381	191	147	76363	7,5	True	30%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	16,97751	18,68395	35,66146	146	159,2549	3030	2113	189	150	67790	10	True	0%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	18,24055	15,80459	34,04514	143	161,6397	2162	2167	189	147	69515	10	True	10%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	14,21641	15,334	29,55041	142	158,5686	2109	2382	205	146	76394	10	True	20%
IceFloes	(172x164)	(132x298)	2	Dijkstra	True	17,06954	14,52706	31,5966	143	159,1544	2124	2395	181	147	76811	10	True	30%
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	7,17233	22,76501	29,93734	141	156,326	3088	3235	309	150	103694	---	---	---
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	8,38574	11,15206	19,5378	147	160,6691	1139	1356	315	156	43572	2,5	False	---
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	7,83306	9,54855	17,38161	147	160,6691	1127	1346	319	156	43252	5	False	---
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	8,30981	10,97177	19,28158	147	160,6691	1081	1281	319	156	41172	7,5	False	---
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	7,823541	9,99521	17,81875	142	156,9117	1072	1258	304	151	40431	10	False	---
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	8,59377	12,76257	21,35634	144	158,0833	1407	1233	325	153	39633	2,5	True	0%
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	7,992459	13,28423	21,27669	147	162,3259	1233	1367	304	156	43924	2,5	True	10%
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	6,9279	12,73729	19,66519	147	160,6691	1124	1328	315	156	42676	2,5	True	20%
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	8,966128	10,58687	19,553	147	160,6691	1141	1356	315	156	43572	2,5	True	30%
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	8,11763	12,68041	20,79804	147	159,8407	1280	1100	327	156	35380	5	True	0%
IceFloes	(172x164)	(132x298)	3	Dijkstra	True	6,62847	11,53534	18,16381	147	160,6691	1289	1466	319	156	47092	5	True	10%
