Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Precalc Time	Solve Time	Total Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
IceFloes	(172x164)	(132x298)	Dijkstra	True	986,981	6,4321	993,4131	137	153,9828	1405	1602	7188528	---	---	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	979,1574	2,03127	981,1887	138	154,5686	415	535	7162920	2,5	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	910,2086	1,87695	912,0856	138	154,5686	365	500	7162080	5	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	679,3401	1,20025	680,5403	138	154,5686	355	487	7161768	7,5	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	684,7814	1,1906	685,972	138	154,5686	354	492	7161888	10	False	---
IceFloes	(172x164)	(132x298)	Dijkstra	True	1120,699	2,0997	1122,799	138	154,5686	415	535	7162920	2,5	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	703,1039	1,35092	704,4548	138	154,5686	392	538	7162992	2,5	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	692,6072	1,34129	693,9485	138	154,5686	369	519	7162536	2,5	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	740,121	1,35733	741,4783	138	154,5686	364	519	7162536	2,5	True	30%
IceFloes	(172x164)	(132x298)	Dijkstra	True	715,735	1,31501	717,05	138	154,5686	365	500	7162080	5	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	724,604	1,30586	725,9099	138	154,5686	357	499	7162056	5	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	819,6398	1,34304	820,9828	138	154,5686	351	496	7161984	5	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	777,1518	1,27904	778,4308	138	154,5686	334	489	7161816	5	True	30%
IceFloes	(172x164)	(132x298)	Dijkstra	True	710,2612	1,36862	711,6298	138	154,5686	355	487	7161768	7,5	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	710,5956	1,28098	711,8766	138	154,5686	358	502	7162128	7,5	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	687,6799	1,07019	688,7501	138	154,5686	315	468	7161312	7,5	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	700,2952	1,15186	701,4471	138	154,5686	316	476	7161504	7,5	True	30%
IceFloes	(172x164)	(132x298)	Dijkstra	True	730,2982	1,24649	731,5447	138	154,5686	354	492	7161888	10	True	0%
IceFloes	(172x164)	(132x298)	Dijkstra	True	792,1637	1,50965	793,6733	138	154,5686	319	469	7161336	10	True	10%
IceFloes	(172x164)	(132x298)	Dijkstra	True	703,4056	1,28379	704,6894	138	154,5686	311	467	7161288	10	True	20%
IceFloes	(172x164)	(132x298)	Dijkstra	True	675,9441	1,04661	676,9907	138	154,5686	301	464	7161216	10	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	688,3136	4,18574	692,4993	138	154,5686	1352	1608	7188672	---	---	---
IceFloes	(172x164)	(132x298)	Manhattan	True	693,3467	1,49455	694,8412	138	154,5686	390	545	7163160	2,5	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	693,1876	1,23923	694,4269	138	154,5686	362	518	7162512	5	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	764,4031	1,37344	765,7766	138	154,5686	330	482	7161648	7,5	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	768,9789	1,39006	770,369	138	154,5686	354	489	7161816	10	False	---
IceFloes	(172x164)	(132x298)	Manhattan	True	686,4399	1,46284	687,9028	138	154,5686	390	545	7163160	2,5	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	686,4579	1,28967	687,7476	138	154,5686	383	543	7163112	2,5	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	681,2559	1,3749	682,6307	138	154,5686	382	543	7163112	2,5	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	933,1476	1,70584	934,8534	138	154,5686	381	542	7163088	2,5	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	971,7914	1,97468	973,7661	138	154,5686	362	518	7162512	5	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	1147,606	2,10811	1149,714	138	154,5686	358	518	7162512	5	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	1138,833	2,27172	1141,105	138	154,5686	354	516	7162464	5	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	838,9816	1,40953	840,3911	138	154,5686	354	516	7162464	5	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	760,8079	1,30719	762,1151	138	154,5686	330	482	7161648	7,5	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	836,4201	1,86252	838,2827	138	154,5686	328	488	7161792	7,5	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	837,1989	1,65965	838,8586	138	154,5686	337	492	7161888	7,5	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	776,902	1,40712	778,3091	138	154,5686	337	492	7161888	7,5	True	30%
IceFloes	(172x164)	(132x298)	Manhattan	True	782,8123	1,43783	784,2501	138	154,5686	354	489	7161816	10	True	0%
IceFloes	(172x164)	(132x298)	Manhattan	True	768,538	1,29855	769,8365	138	154,5686	352	503	7162152	10	True	10%
IceFloes	(172x164)	(132x298)	Manhattan	True	781,4905	1,14766	782,6381	138	154,5686	297	458	7161072	10	True	20%
IceFloes	(172x164)	(132x298)	Manhattan	True	838,2736	1,28626	839,5598	138	154,5686	320	468	7161312	10	True	30%
