Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	3,07031	0,60394	3,67425	15	17,07107	57	71	20	19	2315	---	---	---
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,36882	0,3853	2,75412	15	17,07107	33	45	20	19	1483	2,5	False	---
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,51855	0,35684	2,87539	15	17,07107	28	44	20	19	1451	5	False	---
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,33863	0,39532	2,73395	15	17,07107	28	44	20	19	1451	7,5	False	---
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,29963	0,38459	2,68422	15	17,07107	28	44	20	19	1451	10	False	---
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,36875	0,43821	2,80696	15	17,07107	36	47	20	19	1547	2,5	True	0%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,27229	0,44763	2,71992	15	17,07107	35	47	20	19	1547	2,5	True	10%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	3,5617	0,50077	4,06247	15	17,07107	35	47	20	19	1547	2,5	True	20%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,50812	0,46592	2,97404	15	17,07107	35	47	20	19	1547	2,5	True	30%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,6861	0,50927	3,19537	15	17,07107	39	49	20	19	1611	5	True	0%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,32271	0,48099	2,8037	15	17,07107	35	47	20	19	1547	5	True	10%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,25655	0,44546	2,70201	15	17,07107	35	47	20	19	1547	5	True	20%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,16959	0,43163	2,60122	15	17,07107	34	47	20	19	1547	5	True	30%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	3,20474	0,5416501	3,74639	15	17,07107	35	47	20	19	1547	7,5	True	0%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,65342	0,50127	3,15469	15	17,07107	34	47	20	19	1547	7,5	True	10%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	2,49254	0,33192	2,82446	15	17,07107	34	47	20	19	1547	7,5	True	20%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	1,78332	0,31423	2,09755	15	17,07107	33	47	20	19	1547	7,5	True	30%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	1,65059	0,33905	1,98964	15	17,07107	29	45	20	19	1483	10	True	0%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	1,53052	0,33972	1,87024	15	17,07107	33	47	20	19	1547	10	True	10%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	1,35451	0,30217	1,65668	15	17,07107	33	47	20	19	1547	10	True	20%
AR0012SR	(18x40)	(33x39)	2	Dijkstra	True	1,46364	0,30916	1,7728	15	17,07107	32	45	20	19	1483	10	True	30%
AR0012SR	(18x40)	(33x39)	3	Dijkstra	True	0,81213	0,39667	1,2088	15	17,07107	36	49	36	24	1616	---	---	---
AR0012SR	(18x40)	(33x39)	3	Dijkstra	True	1,0607	0,2635	1,3242	15	17,07107	15	30	36	24	1008	2,5	False	---
AR0012SR	(18x40)	(33x39)	3	Dijkstra	True	0,9578199	0,29005	1,24787	15	17,07107	13	27	36	24	912	5	False	---
AR0012SR	(18x40)	(33x39)	3	Dijkstra	True	1,01545	0,27491	1,29036	15	17,07107	13	27	36	24	912	7,5	False	---
AR0012SR	(18x40)	(33x39)	3	Dijkstra	True	0,78969	0,2847	1,07439	15	17,07107	11	27	36	24	912	10	False	---
AR0012SR	(18x40)	(33x39)	3	Dijkstra	True	1,01194	0,35043	1,36237	15	17,07107	19	30	36	24	1008	2,5	True	0%
