Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Precalc Time	Solve Time	Total Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0012SR	(18x40)	(33x39)	Dijkstra	True	54,80227	0,09879	54,90106	15	17,07107	17	32	814413	---	---	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	50,8892	0,07779	50,96699	15	17,07107	13	27	814293	2,5	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	49,0953	0,07709	49,17239	15	17,07107	13	27	814293	5	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	50,10717	0,0847	50,19187	15	17,07107	13	27	814293	7,5	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	52,93476	0,09003	53,0248	15	17,07107	13	27	814293	10	False	---
AR0012SR	(18x40)	(33x39)	Dijkstra	True	51,31583	0,08115	51,39698	15	17,07107	13	27	814293	2,5	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	48,84472	0,07758	48,9223	15	17,07107	13	27	814293	2,5	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	45,71003	0,07194	45,78197	15	17,07107	13	27	814293	2,5	True	20%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	44,853	0,07994001	44,93294	15	17,07107	13	27	814293	2,5	True	30%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	46,10838	0,08883	46,1972	15	17,07107	13	27	814293	5	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	47,66594	0,07648	47,74242	15	17,07107	13	27	814293	5	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	47,30488	0,07941	47,38429	15	17,07107	13	27	814293	5	True	20%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	48,1394	0,07222001	48,21162	15	17,07107	13	27	814293	5	True	30%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	47,79331	0,07863	47,87194	15	17,07107	13	27	814293	7,5	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	47,45807	0,0807	47,53877	15	17,07107	13	27	814293	7,5	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	47,17959	0,0729	47,25249	15	17,07107	13	27	814293	7,5	True	20%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	49,0643	0,08137	49,14567	15	17,07107	13	27	814293	7,5	True	30%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	48,03544	0,08321	48,11865	15	17,07107	13	27	814293	10	True	0%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	46,58265	0,08062001	46,66327	15	17,07107	13	27	814293	10	True	10%
AR0012SR	(18x40)	(33x39)	Dijkstra	True	46,55143	0,0741	46,62553	15	17,07107	13	27	814293	10	True	20%
