Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0012SR	(5x55)	(94x112)	Dijkstra	True	10,30024	125	149,4387	5677	5734	137616	---	---	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	11,68528	135	166,0661	4285	4666	111984	2,5	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	12,0141	135	165,2377	3982	4545	109080	5	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	10,66738	135	165,2377	3924	4531	108744	7,5	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	9,459509	135	165,2377	3880	4510	108240	10	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	23,99284	125	149,4387	6420	4042	97008	2,5	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	17,2529	131	159,5808	4638	4714	113136	2,5	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	18,13721	135	166,0661	4323	4680	112320	2,5	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	16,50076	135	166,0661	4287	4666	111984	2,5	True	30%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	24,4693	125	149,4387	6617	3549	85176	5	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	17,41053	132	159,3382	4439	4631	111144	5	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	18,23011	139	170,8945	4055	4601	110424	5	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	29,40739	135	165,2377	3985	4545	109080	5	True	30%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	49,20098	125	149,4387	7313	3557	85368	7,5	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	27,13759	131	159,5808	4135	4529	108696	7,5	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	27,0602	135	165,2377	3947	4529	108696	7,5	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	26,83884	135	165,2377	3928	4531	108744	7,5	True	30%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	46,20577	125	149,4387	6461	3528	84672	10	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	29,8032	132	159,3382	4282	4531	108744	10	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	23,84186	139	170,0661	3749	4255	102120	10	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	26,46184	135	165,2377	3883	4510	108240	10	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	21,35893	128	151,196	5640	5721	137304	---	---	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	17,57914	135	165,2377	3957	4508	108192	2,5	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	16,89479	135	165,2377	3619	4153	99672	5	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	14,07666	135	165,2377	3531	4085	98040	7,5	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	14,88392	135	165,2377	3495	4065	97560	10	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	42,69087	131	152,9534	6803	4624	110976	2,5	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	28,45586	131	157,0955	4382	4637	111288	2,5	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	21,27932	131	155,4387	4214	4670	112080	2,5	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	16,53433	135	165,2377	3961	4508	108192	2,5	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	19,53753	132	154,3676	4748	3314	79536	5	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	17,59549	131	157,0955	4173	4497	107928	5	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	16,54137	131	155,4387	4016	4593	110232	5	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	13,61526	135	165,2377	3622	4153	99672	5	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	18,22084	134	155,5392	4959	3043	73032	7,5	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	15,78183	131	156,2671	3837	4153	99672	7,5	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	14,73769	131	155,4387	3778	4266	102384	7,5	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	12,93208	135	165,2377	3535	4085	98040	7,5	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	18,50946	136	155,8823	4614	3290	78960	10	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	14,51725	131	156,2671	3646	3991	95784	10	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	17,0275	132	159,3382	4319	4723	113352	10	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	13,4836	135	165,2377	3499	4065	97560	10	True	30%
