Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,86352	6,59278	8,4563	129	151,7818	1708	1745	188	133	55997	---	---	---
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,37041	5,64443	7,01484	142	170,995	1253	1414	221	146	45418	2,5	False	---
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,4873	5,82045	7,30775	142	170,995	1161	1389	221	146	44618	5	False	---
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,67143	6,15644	7,82787	142	170,995	1141	1372	221	146	44074	7,5	False	---
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,79015	6,2454	8,03555	142	170,995	1114	1352	221	146	43434	10	False	---
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,7143	9,00008	10,71438	129	151,7818	1514	1131	187	133	36349	2,5	True	0%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,86593	8,852769	10,7187	132	156,8529	1371	1432	196	136	45984	2,5	True	10%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	3,08565	9,21741	12,30306	142	170,995	1261	1414	221	146	45418	2,5	True	20%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	2,088	8,490709	10,57871	142	170,995	1254	1414	221	146	45418	2,5	True	30%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,77955	9,49958	11,27913	130	152,3676	1368	1093	186	134	35134	5	True	0%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,91118	8,63231	10,54349	134	159,6813	1280	1396	201	138	44834	5	True	10%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,56521	8,62092	10,18613	142	170,995	1171	1389	221	146	44618	5	True	20%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,65297	8,13337	9,78634	142	170,995	1163	1389	221	146	44618	5	True	30%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,97872	10,2936	12,27232	131	152,9534	1722	915	186	135	29439	7,5	True	0%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,76211	8,843151	10,60526	134	159,6813	1250	1390	201	138	44642	7,5	True	10%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,84217	9,66474	11,50691	142	170,995	1150	1372	221	146	44074	7,5	True	20%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	2,04987	8,41169	10,46156	142	170,995	1143	1372	221	146	44074	7,5	True	30%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,83449	10,22649	12,06098	130	152,3676	1549	959	186	134	30846	10	True	0%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,94775	8,846621	10,79437	134	159,6813	1232	1380	201	138	44322	10	True	10%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,75614	8,346621	10,10276	142	170,995	1122	1352	221	146	43434	10	True	20%
AR0012SR	(5x55)	(94x112)	2	Dijkstra	True	1,96285	8,08803	10,05088	142	170,995	1116	1352	221	146	43434	10	True	30%
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	True	1,05199	8,1723	9,22429	134	156,3676	626	675	298	143	21767	5	True	10%
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	True	1,17942	8,915071	10,09449	134	156,3676	585	645	299	143	20807	7,5	True	10%
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	True	0,8819799	6,92681	7,80879	134	156,3676	538	581	299	143	18759	10	True	10%
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	4	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	6	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	8	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	12	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	16	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	16	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	16	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0012SR	(5x55)	(94x112)	16	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
