Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Precalc Time	Solve Time	Total Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0012SR	(5x55)	(94x112)	Dijkstra	True	46,72046	1,71393	48,43439	125	149,4386	686	732	831213	---	---	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	45,0338	1,75332	46,78712	135	155,2965	606	631	828789	2,5	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	45,73632	1,53835	47,27467	148	168,7107	528	583	827637	5	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	47,08053	1,44384	48,52437	148	168,7107	478	543	826677	7,5	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	46,82585	1,5942	48,42005	148	168,7107	519	581	827589	10	False	---
AR0012SR	(5x55)	(94x112)	Dijkstra	True	47,57682	1,8676	49,44442	135	155,2965	606	631	828789	2,5	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	46,46737	1,42488	47,89225	133	154,1249	491	603	828117	2,5	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	46,63168	1,37843	48,01011	133	154,1249	457	579	827541	2,5	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	48,18319	1,42489	49,60808	131	152,9533	462	584	827661	2,5	True	30%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	46,38475	1,71462	48,09937	148	168,7107	528	583	827637	5	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	47,55731	1,29429	48,8516	133	154,1249	417	543	826677	5	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	46,86087	1,2268	48,08767	133	154,1249	414	542	826653	5	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	45,90292	1,25723	47,16015	133	154,1249	408	541	826629	5	True	30%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	45,5545	1,41361	46,96811	148	168,7107	478	543	826677	7,5	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	52,19083	1,25196	53,44279	133	154,1249	368	507	825813	7,5	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	50,92809	1,43872	52,36681	133	154,1249	356	497	825573	7,5	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	50,26367	1,41266	51,67633	133	154,1249	358	500	825645	7,5	True	30%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	50,30049	1,61898	51,91947	148	168,7107	519	581	827589	10	True	0%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	49,97262	1,3211	51,29372	133	154,1249	361	499	825621	10	True	10%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	50,91507	1,21031	52,12537	133	154,1249	372	515	826005	10	True	20%
AR0012SR	(5x55)	(94x112)	Dijkstra	True	50,40943	1,39562	51,80505	133	154,1249	374	518	826077	10	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	52,1704	1,88205	54,05245	144	160,5685	640	746	831549	---	---	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	50,82457	1,77343	52,598	143	159,9828	491	561	827109	2,5	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	51,11378	1,83382	52,9476	158	174,5686	529	600	828045	5	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	52,6601	1,77587	54,43597	158	174,5686	373	504	825741	7,5	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	54,38984	1,44876	55,8386	158	174,5686	393	493	825477	10	False	---
AR0012SR	(5x55)	(94x112)	Manhattan	True	56,38997	1,93844	58,3284	143	159,9828	491	561	827109	2,5	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	55,97916	1,61718	57,59634	137	156,468	453	575	827445	2,5	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	52,95906	1,85284	54,8119	137	156,468	440	564	827181	2,5	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	54,45125	1,85943	56,31068	135	155,2965	430	557	827013	2,5	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	54,65084	1,85636	56,5072	158	174,5686	529	600	828045	5	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	54,39454	1,82837	56,22291	133	154,1249	475	596	827949	5	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	52,93848	1,4741	54,41258	133	154,1249	410	542	826653	5	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	53,52971	1,62299	55,1527	133	154,1249	410	542	826653	5	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	55,70697	1,38694	57,09391	158	174,5686	373	504	825741	7,5	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	56,08738	1,62864	57,71602	133	154,1249	386	528	826317	7,5	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	52,52965	1,42784	53,95749	133	154,1249	384	526	826269	7,5	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	54,94738	1,31013	56,25751	133	154,1249	382	525	826245	7,5	True	30%
AR0012SR	(5x55)	(94x112)	Manhattan	True	53,82198	1,44612	55,2681	158	174,5686	393	493	825477	10	True	0%
AR0012SR	(5x55)	(94x112)	Manhattan	True	55,08553	1,5324	56,61793	145	167,7818	366	516	826029	10	True	10%
AR0012SR	(5x55)	(94x112)	Manhattan	True	55,82998	1,43067	57,26065	133	154,1249	359	504	825741	10	True	20%
AR0012SR	(5x55)	(94x112)	Manhattan	True	55,2827	1,33468	56,61737	133	154,1249	359	504	825741	10	True	30%
