Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,10047	0,23529	0,33576	6	6,828427	29	47	9	10	1538	---	---	---
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,11325	0,17736	0,29061	6	6,828427	8	24	9	10	802	2,5	False	---
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,10679	0,15865	0,26544	6	6,828427	5	19	9	10	642	5	False	---
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,11631	0,15558	0,27189	6	6,828427	4	18	9	10	610	7,5	False	---
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,11252	0,14411	0,25663	6	6,828427	4	18	9	10	610	10	False	---
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,10824	0,18894	0,29718	6	6,828427	8	24	9	10	802	2,5	True	0%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,10373	0,209	0,31273	6	6,828427	8	24	9	10	802	2,5	True	10%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,11691	0,17712	0,29403	6	6,828427	8	24	9	10	802	2,5	True	20%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,09978	0,17447	0,27425	6	6,828427	8	24	9	10	802	2,5	True	30%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,11629	0,17534	0,29163	6	6,828427	5	19	9	10	642	5	True	0%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,11771	0,15447	0,27218	6	6,828427	5	19	9	10	642	5	True	10%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,10361	0,16957	0,27318	6	6,828427	5	19	9	10	642	5	True	20%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,09650999	0,16801	0,26452	6	6,828427	5	19	9	10	642	5	True	30%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,13138	0,15524	0,28662	6	6,828427	4	18	9	10	610	7,5	True	0%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,13133	0,18865	0,31998	6	6,828427	4	18	9	10	610	7,5	True	10%
AR0408SR	(6x18)	(12x20)	2	Dijkstra	True	0,10683	0,16345	0,27028	6	6,828427	4	18	9	10	610	7,5	True	20%
