Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Precalc Time	Solve Time	Total Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0408SR	(6x18)	(12x20)	Dijkstra	True	3,18374	0,08255	3,26629	6	6,828427	9	17	40098	---	---	---
AR0408SR	(6x18)	(12x20)	Dijkstra	True	3,0513	0,07246	3,12376	6	6,828427	4	11	39954	2,5	False	---
AR0408SR	(6x18)	(12x20)	Dijkstra	True	1,97316	0,07102	2,04418	6	6,828427	3	10	39930	5	False	---
AR0408SR	(6x18)	(12x20)	Dijkstra	True	3,04026	0,07371	3,11397	6	6,828427	3	10	39930	7,5	False	---
AR0408SR	(6x18)	(12x20)	Dijkstra	True	2,2971	0,06308	2,36018	6	6,828427	3	10	39930	10	False	---
AR0408SR	(6x18)	(12x20)	Dijkstra	True	1,8141	0,06675	1,88085	6	6,828427	4	11	39954	2,5	True	0%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	2,21129	0,06992	2,28121	6	6,828427	4	11	39954	2,5	True	10%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	2,47255	0,07002001	2,54257	6	6,828427	4	11	39954	2,5	True	20%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	1,78301	0,06655	1,84956	6	6,828427	4	11	39954	2,5	True	30%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	3,18301	0,07482	3,25783	6	6,828427	3	10	39930	5	True	0%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	2,36462	0,06917001	2,43379	6	6,828427	3	10	39930	5	True	10%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	2,92384	0,06258	2,98642	6	6,828427	3	10	39930	5	True	20%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	3,16414	0,05899	3,22313	6	6,828427	3	10	39930	5	True	30%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	2,41451	0,07195	2,48646	6	6,828427	3	10	39930	7,5	True	0%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	1,79081	0,04599	1,8368	6	6,828427	3	10	39930	7,5	True	10%
AR0408SR	(6x18)	(12x20)	Dijkstra	True	2,26116	0,06	2,32116	6	6,828427	3	10	39930	7,5	True	20%
