Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,31314	26	28,07107	345	352	8448	---	---	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,43178	25	31,62741	282	313	7512	2,5	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,37402	25	31,62741	276	308	7392	5	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,281	25	31,62741	275	308	7392	7,5	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,01219	25	31,62741	274	308	7392	10	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,41678	23	29,62741	415	318	7632	2,5	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,11976	25	30,79899	325	314	7536	2,5	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,99168	26	31,38477	291	313	7512	2,5	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,62745	24	30,2132	276	309	7416	2,5	True	30%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,56165	23	29,62741	432	311	7464	5	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,80263	24	30,2132	316	315	7560	5	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,58224	23	29,62741	275	305	7320	5	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,14056	24	30,2132	268	306	7344	5	True	30%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,80338	23	29,62741	455	315	7560	7,5	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,74942	28	32,55635	310	315	7560	7,5	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	0,97922	25	30,79899	282	308	7392	7,5	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	0,9506501	24	30,2132	266	306	7344	7,5	True	30%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,54243	23	29,62741	429	314	7536	10	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,58687	24	30,2132	316	306	7344	10	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	0,9793299	25	30,79899	283	308	7392	10	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	0,9675	24	30,2132	269	308	7392	10	True	30%
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,56094	26	28,07107	313	328	7872	---	---	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,59306	26	32,2132	284	314	7536	2,5	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,67251	25	31,62741	278	310	7440	5	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,7720799	25	31,62741	277	310	7440	7,5	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,74564	25	31,62741	276	310	7440	10	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,02213	30	33,72792	318	317	7608	2,5	True	0%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,065	30	33,72792	314	317	7608	2,5	True	10%
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,9981799	28	32,55635	300	317	7608	2,5	True	20%
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,99571	27	31,97056	288	312	7488	2,5	True	30%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,11479	27	31,97056	346	327	7848	5	True	0%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,04201	26	28,07107	321	305	7320	5	True	10%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,49434	29	33,14214	299	313	7512	5	True	20%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,12909	28	32,55635	293	312	7488	5	True	30%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,24062	29	33,14214	324	313	7512	7,5	True	0%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,6147	26	28,07107	326	323	7752	7,5	True	10%
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,98937	29	33,14214	296	312	7488	7,5	True	20%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,01896	27	31,97056	287	309	7416	7,5	True	30%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,19692	27	31,97056	357	325	7800	10	True	0%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,40395	29	33,97056	324	310	7440	10	True	10%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,04305	28	32,55635	300	312	7488	10	True	20%
AR0408SR	(7x22)	(18x2)	Manhattan	True	0,98333	27	31,97056	284	312	7488	10	True	30%
