Map Name	Start Coords	Goal Coords	Chunk Size	Heuristic	Path Found	Precalc Time	Search Time	Total Time	Path Length (Node)	Path Length (Distance)	Chunks Analyzed	Chunks Allocated	Nodes Analyzed	Nodes Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,10579	0,6173199	0,72311	23	29,62741	105	108	40	27	3507	---	---	---
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,10869	0,5521	0,66079	30	35,38478	86	101	47	34	3290	2,5	False	---
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11257	0,58054	0,69311	30	35,38478	85	101	47	34	3290	5	False	---
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11518	0,66805	0,78323	30	35,38478	85	101	47	34	3290	7,5	False	---
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11598	0,5249	0,64088	30	35,38478	85	101	47	34	3290	10	False	---
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,10648	0,72336	0,82984	23	29,62741	103	99	40	27	3219	2,5	True	0%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11758	0,72869	0,84627	25	30,79898	94	101	41	29	3285	2,5	True	10%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,10921	0,64795	0,75716	25	30,79898	84	98	41	29	3189	2,5	True	20%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11213	0,70478	0,81691	27	31,97056	83	99	42	31	3223	2,5	True	30%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11357	0,67532	0,7888899	23	29,62741	108	97	40	27	3155	5	True	0%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,10444	0,71306	0,8175	25	30,79898	99	99	41	29	3221	5	True	10%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11032	0,71965	0,8299701	27	31,97056	90	99	42	31	3223	5	True	20%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11066	0,66827	0,77893	28	29,24264	89	96	35	32	3128	5	True	30%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,1073	0,77839	0,88569	28	29,24264	110	99	35	32	3224	7,5	True	0%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11438	0,74721	0,86159	23	29,62741	98	99	40	27	3219	7,5	True	10%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,1286	0,68906	0,81766	27	31,97056	90	99	42	31	3223	7,5	True	20%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,11958	0,64188	0,7614599	28	29,24264	89	96	35	32	3128	7,5	True	30%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,1196	0,78452	0,90412	23	29,62741	113	99	40	27	3219	10	True	0%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,10684	0,6998	0,80664	23	29,62741	103	99	40	27	3219	10	True	10%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,16016	0,68174	0,8419	27	31,97056	89	99	42	31	3223	10	True	20%
AR0408SR	(7x22)	(18x2)	2	Dijkstra	True	0,10963	0,65951	0,76914	28	29,24264	89	96	35	32	3128	10	True	30%
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	3	Dijkstra	False	---	---	---	---	---	---	---	---	---	---	---	---	---
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05097	0,63778	0,68875	25	30,79899	35	36	75	41	1217	---	---	---
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05555	0,55	0,60555	25	30,79899	20	33	73	41	1121	2,5	False	---
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05697	0,52542	0,58239	25	30,79899	19	33	73	41	1121	5	False	---
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,06143	0,65369	0,71512	25	30,79899	19	33	73	41	1121	7,5	False	---
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,04599	0,47372	0,51971	25	30,79899	19	33	73	41	1121	10	False	---
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,09811001	0,75936	0,85747	25	30,79899	30	35	73	41	1185	2,5	True	0%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05874	0,66534	0,72408	25	30,79899	30	35	73	41	1185	2,5	True	10%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,06533001	0,71429	0,7796201	25	30,79899	30	35	73	41	1185	2,5	True	20%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,06593999	0,61541	0,68135	25	30,79899	23	33	73	41	1121	2,5	True	30%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05224	0,64799	0,70023	29	33,14214	24	32	82	45	1093	5	True	0%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05	0,61346	0,66346	29	33,14214	24	32	82	45	1093	5	True	10%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05434	0,61562	0,66996	29	33,14214	24	32	82	45	1093	5	True	20%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,06706	0,6083601	0,67542	25	30,79899	23	33	73	41	1121	5	True	30%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,06697001	0,66208	0,72905	29	33,14214	24	32	82	45	1093	7,5	True	0%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,06787	0,6367999	0,70467	29	33,14214	24	32	82	45	1093	7,5	True	10%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,04899	0,6359	0,68489	29	33,14214	24	32	82	45	1093	7,5	True	20%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05959	0,62939	0,68898	25	30,79899	23	33	73	41	1121	7,5	True	30%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,04124	0,57423	0,61547	25	30,79899	25	33	73	41	1121	10	True	0%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05203	0,58046	0,63249	25	30,79899	25	33	73	41	1121	10	True	10%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05522	0,65898	0,7142	25	30,79899	25	33	73	41	1121	10	True	20%
AR0408SR	(7x22)	(18x2)	4	Dijkstra	True	0,05241	0,54963	0,60204	25	30,79899	23	33	73	41	1121	10	True	30%
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,04332	0,6396	0,68292	25	30,79899	15	18	93	61	661	---	---	---
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,03514	0,55864	0,59378	25	30,79899	8	17	93	61	629	2,5	False	---
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,0502	0,57195	0,62215	25	30,79899	5	17	93	61	629	5	False	---
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,04184	0,53826	0,5801001	25	30,79899	5	17	93	61	629	7,5	False	---
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,02817	0,5242001	0,5523701	25	30,79899	5	17	93	61	629	10	False	---
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,04344	0,6225399	0,66598	25	30,79899	8	17	93	61	629	2,5	True	0%
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,0317	0,54781	0,57951	25	30,79899	8	17	93	61	629	2,5	True	10%
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,03217001	0,55886	0,59103	25	30,79899	8	17	93	61	629	2,5	True	20%
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,03119	0,50491	0,5361	25	30,79899	8	17	93	61	629	2,5	True	30%
AR0408SR	(7x22)	(18x2)	6	Dijkstra	True	0,0399	0,50739	0,54729	25	30,79899	5	17	93	61	629	5	True	0%
