Map Name	Start Coords	Goal Coords	Heuristic	Path Found	Precalc Time	Solve Time	Total Time	Path Length (Nodes)	Path Length (Distance)	Analyzed	Allocated	Memory (B)	Goal Bounding	Cost Overwrite	Error Margin
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,97792	0,15375	2,13167	26	28,07107	37	52	40938	---	---	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,9236	0,11826	2,04186	23	29,62742	24	39	40626	2,5	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	3,23062	0,13324	3,36386	23	29,62742	24	39	40626	5	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,26534	0,10955	2,37489	23	29,62742	25	40	40650	7,5	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,36772	0,12693	2,49465	23	29,62742	25	40	40650	10	False	---
AR0408SR	(7x22)	(18x2)	Dijkstra	True	3,82601	0,14244	3,96845	23	29,62742	24	39	40626	2,5	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,37332	0,14579	2,51911	23	29,62742	24	39	40626	2,5	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,8659	0,1145	1,9804	23	29,62742	24	39	40626	2,5	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,06825	0,12486	2,19311	23	29,62742	24	39	40626	2,5	True	30%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,36214	0,14495	2,50709	23	29,62742	24	39	40626	5	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,69199	0,1239	2,81589	23	29,62742	24	39	40626	5	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	3,03255	0,12372	3,15627	23	29,62742	24	39	40626	5	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,87089	0,1246	2,99549	23	29,62742	24	39	40626	5	True	30%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,96365	0,12467	2,08832	23	29,62742	25	40	40650	7,5	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,27476	0,13971	2,41447	23	29,62742	25	40	40650	7,5	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,28894	0,14964	2,43858	23	29,62742	25	40	40650	7,5	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,743	0,13006	1,87306	23	29,62742	25	40	40650	7,5	True	30%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,6989	0,12577	2,82467	23	29,62742	25	40	40650	10	True	0%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	1,82463	0,12473	1,94936	23	29,62742	25	40	40650	10	True	10%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,27052	0,15271	2,42323	23	29,62742	25	40	40650	10	True	20%
AR0408SR	(7x22)	(18x2)	Dijkstra	True	2,924	0,15443	3,07843	23	29,62742	25	40	40650	10	True	30%
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,65812	0,13569	2,79381	26	28,07107	32	47	40818	---	---	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,62448	0,14035	2,76483	23	29,62742	28	43	40722	2,5	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,08477	0,13452	2,21929	26	28,07107	24	43	40722	5	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	3,20058	0,13436	3,33494	26	28,07107	22	41	40674	7,5	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,21414	0,12408	2,33822	26	28,07107	22	41	40674	10	False	---
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,19472	0,13515	2,32987	23	29,62742	28	43	40722	2,5	True	0%
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,0368	0,16011	2,19691	23	29,62742	28	43	40722	2,5	True	10%
AR0408SR	(7x22)	(18x2)	Manhattan	True	3,03385	0,16386	3,19771	23	29,62742	28	43	40722	2,5	True	20%
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,85356	0,12986	2,98342	23	29,62742	28	43	40722	2,5	True	30%
AR0408SR	(7x22)	(18x2)	Manhattan	True	1,76192	0,10769	1,86961	26	28,07107	24	43	40722	5	True	0%
AR0408SR	(7x22)	(18x2)	Manhattan	True	2,61611	0,12446	2,74057	26	28,07107	24	43	40722	5	True	10%
